seed,budget_s,budget,final_iter,train_seconds,gaussians,densify_on_blocks,blocks,test_psnr,test_ssim
0,30.0,30,2500,30.0,289830,25,25,17.582,0.7145
0,60.0,60,4800,60.3,389004,48,48,18.801,0.7669
0,120.0,120,8800,120.9,501538,88,88,20.574,0.8074
0,300.0,300,20200,300.9,568976,202,202,21.676,0.833
0,360.0,360,24300,361.5,565467,243,243,22.051,0.8416
0,10000000.0,unlimited,30000,469.6,584860,300,300,22.472,0.8486
1,30.0,30,2600,30.4,281171,26,26,18.09,0.7216
1,60.0,60,4800,60.5,367441,48,48,18.77,0.7702
1,120.0,120,9000,120.0,465803,90,90,20.432,0.8071
1,300.0,300,19400,300.9,600884,194,194,21.521,0.8325
1,360.0,360,24100,361.2,561965,241,241,21.738,0.8347
1,10000000.0,unlimited,30000,478.8,597431,300,300,22.315,0.8459
2,30.0,30,2600,30.9,255091,26,26,17.403,0.7016
2,60.0,60,4900,61.2,364002,49,49,19.155,0.7718
2,120.0,120,8600,120.2,509889,86,86,20.236,0.8031
2,300.0,300,19300,300.3,615055,193,193,21.452,0.8356
2,360.0,360,23100,361.7,596222,231,231,22.079,0.8441
2,10000000.0,unlimited,30000,494.1,578971,300,300,22.218,0.8469
3,30.0,30,2400,30.3,266580,24,24,17.917,0.7117
3,60.0,60,4500,60.8,344645,45,45,18.728,0.7656
3,120.0,120,8400,121.3,456630,84,84,20.672,0.8093
3,300.0,300,18700,301.0,580677,187,187,21.825,0.8332
3,360.0,360,21800,361.3,619035,218,218,22.004,0.8399
3,10000000.0,unlimited,30000,486.0,573278,300,300,22.256,0.8438
4,30.0,30,2500,30.4,276580,25,25,17.434,0.7058
4,60.0,60,4700,60.8,352602,47,47,18.794,0.765
4,120.0,120,8700,120.8,476427,87,87,20.475,0.8088
4,300.0,300,19100,300.0,571545,191,191,22.252,0.8372
4,360.0,360,21900,360.1,588336,219,219,21.722,0.8384
4,10000000.0,unlimited,30000,494.7,577188,300,300,22.631,0.849
5,30.0,30,2400,30.5,233408,24,24,17.16,0.6887
5,60.0,60,4600,61.4,358108,46,46,18.863,0.7626
5,120.0,120,8300,121.3,495033,83,83,20.329,0.8023
5,300.0,300,19000,300.6,570948,190,190,22.205,0.8394
5,360.0,360,21700,361.3,581602,217,217,22.07,0.84
5,10000000.0,unlimited,30000,494.4,561792,300,300,22.42,0.8496
6,30.0,30,2400,30.4,299226,24,24,17.852,0.7151
6,60.0,60,4500,60.6,344397,45,45,18.903,0.7603
6,120.0,120,8300,121.4,483983,83,83,20.218,0.8017
6,300.0,300,18700,300.3,579665,187,187,21.971,0.8405
6,360.0,360,21800,360.2,578312,218,218,21.696,0.8387
6,10000000.0,unlimited,30000,494.0,575636,300,300,22.121,0.8478
7,30.0,30,2600,31.0,278634,26,26,17.837,0.719
7,60.0,60,4800,61.0,360693,48,48,18.929,0.7666
7,120.0,120,8700,120.7,473631,87,87,20.366,0.8043
7,300.0,300,19900,300.2,554392,199,199,22.219,0.8437
7,360.0,360,22700,361.7,594535,227,227,21.808,0.8399
7,10000000.0,unlimited,30000,481.4,588658,300,300,22.15,0.8441
8,30.0,30,2500,30.7,244139,25,25,17.432,0.7009
8,60.0,60,4700,61.1,350139,47,47,19.112,0.7644
8,120.0,120,8300,121.1,500671,83,83,20.466,0.8059
8,300.0,300,19800,300.6,544972,198,198,21.744,0.8388
8,360.0,360,22100,360.2,604448,221,221,22.095,0.8412
8,10000000.0,unlimited,30000,469.8,576960,300,300,22.154,0.8475
9,30.0,30,2500,30.0,270401,25,25,17.773,0.7113
9,60.0,60,4700,60.3,391692,47,47,19.204,0.7728
9,120.0,120,8700,120.6,484389,87,87,20.436,0.8013
9,300.0,300,19900,301.1,565185,199,199,21.41,0.8335
9,360.0,360,23500,361.1,573169,235,235,22.198,0.8454
9,10000000.0,unlimited,30000,458.6,560628,300,300,22.204,0.845
