seed,budget_s,budget,final_iter,train_seconds,gaussians,densify_on_blocks,blocks,test_psnr,test_ssim
0,30.0,30,4500,30.1,341677,45,45,18.337,0.7525
0,60.0,60,8200,60.4,459757,82,82,20.128,0.7932
0,120.0,120,15400,120.1,581034,154,154,21.612,0.8299
0,300.0,300,30000,226.0,519096,300,300,22.413,0.8395
0,360.0,360,30000,242.8,562469,300,300,22.44,0.8436
0,10000000.0,unlimited,30000,238.2,597947,300,300,22.473,0.8468
1,30.0,30,4400,30.3,326220,44,44,18.596,0.7523
1,60.0,60,8200,60.6,477424,82,82,20.468,0.7995
1,120.0,120,9800,121.1,492460,98,98,20.179,0.8037
1,300.0,300,21200,300.3,567529,212,212,22.122,0.8352
1,360.0,360,29200,360.5,567360,292,292,22.16,0.8477
1,10000000.0,unlimited,30000,322.8,573693,300,300,22.655,0.8456
2,30.0,30,4400,30.5,331705,44,44,18.318,0.75
2,60.0,60,8000,60.5,445047,80,80,19.92,0.7964
2,120.0,120,14900,120.1,564221,149,149,20.79,0.8222
2,300.0,300,30000,232.1,567865,300,300,22.541,0.8472
2,360.0,360,30000,227.9,548368,300,300,22.68,0.8477
2,10000000.0,unlimited,30000,241.5,622339,300,300,22.334,0.8421
3,30.0,30,4500,30.1,333341,45,45,19.123,0.7615
3,60.0,60,8200,60.6,441034,82,82,20.073,0.7978
3,120.0,120,15400,120.1,554159,154,154,21.402,0.8275
3,300.0,300,30000,232.0,573438,300,300,21.955,0.8403
3,360.0,360,30000,230.3,561794,300,300,22.605,0.8504
3,10000000.0,unlimited,30000,224.2,542215,300,300,22.114,0.8347
4,30.0,30,4400,30.0,330678,44,44,18.531,0.754
4,60.0,60,8400,60.6,467382,84,84,20.193,0.7986
4,120.0,120,16000,120.5,575497,160,160,21.362,0.8235
4,300.0,300,30000,230.1,551834,300,300,21.935,0.8402
4,360.0,360,30000,226.9,559437,300,300,22.614,0.8508
4,10000000.0,unlimited,30000,235.4,608169,300,300,22.005,0.8464
5,30.0,30,4600,30.6,351306,46,46,18.797,0.7599
5,60.0,60,8300,60.5,501182,83,83,19.65,0.796
5,120.0,120,15500,120.1,585306,155,155,20.785,0.822
5,300.0,300,30000,225.2,554980,300,300,21.686,0.84
5,360.0,360,30000,228.4,576098,300,300,22.114,0.8439
5,10000000.0,unlimited,30000,228.0,569513,300,300,21.947,0.8437
6,30.0,30,4500,30.7,347445,45,45,18.854,0.7612
6,60.0,60,8400,60.1,465960,84,84,20.031,0.7987
6,120.0,120,15800,120.6,567575,158,158,21.515,0.8304
6,300.0,300,30000,227.8,572683,300,300,22.056,0.8398
6,360.0,360,30000,231.2,588470,300,300,22.761,0.8495
6,10000000.0,unlimited,30000,228.3,562104,300,300,22.445,0.8495
7,30.0,30,4600,30.5,352854,46,46,18.273,0.7495
7,60.0,60,8200,60.0,437660,82,82,19.919,0.7928
7,120.0,120,15400,120.3,572934,154,154,21.225,0.8256
7,300.0,300,30000,229.8,566773,300,300,22.316,0.8389
7,360.0,360,30000,228.6,576603,300,300,22.178,0.8424
7,10000000.0,unlimited,30000,227.1,560441,300,300,22.507,0.8437
8,30.0,30,4400,30.2,318502,44,44,18.325,0.7445
8,60.0,60,8500,60.5,467774,85,85,20.447,0.8038
8,120.0,120,15600,120.7,585451,156,156,21.18,0.8234
8,300.0,300,30000,226.0,576326,300,300,22.144,0.8426
8,360.0,360,30000,227.8,569491,300,300,22.224,0.846
8,10000000.0,unlimited,30000,223.2,546156,300,300,22.645,0.847
9,30.0,30,4600,30.4,332485,46,46,18.461,0.7476
9,60.0,60,8300,60.5,507504,83,83,20.641,0.8068
9,120.0,120,15600,120.2,578618,156,156,21.673,0.8277
9,300.0,300,30000,226.0,563963,300,300,21.75,0.8412
9,360.0,360,30000,226.6,563003,300,300,22.63,0.8502
9,10000000.0,unlimited,30000,227.5,566020,300,300,22.257,0.8442
