method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
agentic,1,200,2.75,32049,0,0,2.7497,15.172,0.3486,1.1122,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.5017,0.0041,1.1266,1.793,0.7933,1.806,1.2113
agentic,2,400,5.406,32049,0,0,2.6563,15.248,0.3525,-0.0855,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4195,0.0026,0.7806,1.9043,0.7194,1.9213,1.4502
agentic,3,600,7.895,33923,1874,0,2.4887,16.602,0.3968,1.521,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4201,0.0026,0.742,1.8998,0.693,1.9169,1.4481
agentic,4,800,9.931,61465,27542,0,2.0363,18.559,0.4293,2.1477,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4005,0.0023,0.5771,1.9153,0.5816,1.9292,1.5159
agentic,5,1000,11.902,61465,0,0,1.9714,19.684,0.4675,1.1037,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.3909,0.0021,0.4543,1.9225,0.4786,1.9331,1.5625
agentic,6,1200,13.923,94199,32734,0,2.021,19.172,0.4508,-0.7024,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.3861,0.0021,0.4173,1.9233,0.4551,1.9356,1.5823
agentic,7,1400,16.011,94199,0,0,2.0879,19.579,0.4738,0.1406,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4191,0.0027,0.5563,1.878,0.5478,1.8945,1.4459
agentic,8,1600,18.256,105689,11492,2,2.2442,19.506,0.4751,0.0858,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4065,0.0024,0.5125,1.897,0.5382,1.914,1.5008
agentic,9,1800,20.456,105689,0,0,2.2,20.483,0.5023,0.6974,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4073,0.0024,0.4718,1.8947,0.4968,1.9098,1.5061
agentic,10,2000,22.591,150781,45092,0,2.1359,19.39,0.4709,-1.0599,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4065,0.0024,0.4793,1.895,0.5041,1.9114,1.5055
agentic,11,2200,24.836,150781,0,0,2.2444,20.316,0.5042,0.5668,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4248,0.0029,0.547,1.8614,0.5524,1.8825,1.4269
agentic,12,2400,27.163,196673,46026,134,2.3269,19.61,0.4891,-0.671,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4216,0.0027,0.5185,1.8682,0.5419,1.8897,1.4521
agentic,13,2600,29.548,382711,186416,378,2.3855,20.268,0.5073,-0.885,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4368,0.0031,0.6141,1.8435,0.6033,1.8684,1.385
agentic,14,2800,31.955,529680,146969,0,2.4067,20.277,0.5184,-1.7343,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.411,0.0025,0.4548,1.8839,0.4882,1.9019,1.4954
agentic,15,3000,34.451,529680,0,0,2.4956,21.287,0.5651,-0.9688,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4122,0.0026,0.4639,1.88,0.4987,1.9,1.4886
agentic,16,3200,37.174,710207,180527,0,2.7236,20.548,0.5367,-3.1233,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4108,0.0026,0.4447,1.8786,0.4873,1.9,1.4954
agentic,17,3400,40.001,710207,0,0,2.8271,21.278,0.5722,-1.8093,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4452,0.0033,0.5678,1.8164,0.57,1.8445,1.3634
agentic,18,3600,42.866,829920,120227,514,2.8646,20.8,0.5574,-3.134,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4239,0.0028,0.4946,1.8571,0.5313,1.882,1.4469
agentic,19,3800,45.993,1111133,283352,2139,3.1274,21.246,0.5768,-4.5622,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4507,0.0034,0.6144,1.8086,0.6103,1.8401,1.3437
agentic,20,4000,49.198,1386711,275578,0,3.2049,21.003,0.574,-5.7564,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4217,0.0027,0.4567,1.8602,0.4943,1.8827,1.4609
agentic,21,4200,52.509,1386711,0,0,3.3106,21.664,0.602,-4.5459,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4537,0.0035,0.5934,1.7975,0.5939,1.8298,1.3361
agentic,22,4400,55.886,1524526,143404,5589,3.3769,21.457,0.5951,-5.703,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4311,0.0029,0.5064,1.8425,0.5411,1.8698,1.4234
agentic,23,4600,59.835,1786560,274008,11974,3.9497,21.642,0.6075,-7.1817,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4595,0.0036,0.6323,1.7889,0.6245,1.8236,1.3174
agentic,24,4800,63.667,2096616,310057,1,3.8312,21.393,0.603,-8.6612,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4313,0.0029,0.4765,1.8411,0.5109,1.8663,1.428
agentic,25,5000,67.566,2096616,0,0,3.8999,21.963,0.6233,-7.3614,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4632,0.0037,0.6166,1.7756,0.6132,1.8118,1.3073
agentic,26,5200,71.612,2221830,140221,15007,4.046,21.704,0.618,-8.4589,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4387,0.0031,0.5181,1.8263,0.551,1.8562,1.3993
agentic,27,5400,75.871,2423761,233546,31615,4.259,22.054,0.6301,-9.4497,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4653,0.0037,0.6411,1.7742,0.6339,1.8119,1.3005
agentic,28,5600,80.135,2725005,301246,2,4.2636,21.768,0.6232,-11.108,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4367,0.003,0.4848,1.8293,0.5189,1.8565,1.4107
agentic,29,5800,84.531,2725005,0,0,4.3962,22.25,0.6436,-9.8434,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.469,0.0038,0.627,1.7609,0.6239,1.8,1.2907
agentic,30,6000,89.141,3017411,292414,8,4.6102,21.849,0.6304,-12.2702,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4448,0.0032,0.5124,1.8122,0.5435,1.8429,1.3833
