method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,1,100,1.447,32049,0,0,1.4472,14.929,0.34,1.0244,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,2,200,2.757,32049,0,0,1.3102,15.144,0.3472,0.1053,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,3,300,4.102,32049,0,0,1.345,15.181,0.3504,-0.0417,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,4,400,5.414,32049,0,0,1.3116,15.205,0.3518,-0.0405,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,5,500,6.674,32049,0,0,1.26,15.166,0.353,-0.1343,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,6,600,8.55,32050,1,0,1.8758,11.366,0.1863,-4.8705,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,7,700,9.54,32650,600,0,0.9904,15.425,0.365,4.3651,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,8,800,10.546,34289,1639,0,1.0054,16.919,0.4023,1.7818,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,9,900,11.54,37683,3394,0,0.9948,17.495,0.4156,0.4899,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,10,1000,12.534,42918,5235,0,0.9939,17.777,0.4148,0.1982,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,11,1100,13.555,50000,7615,533,1.0208,18.203,0.4282,0.3606,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,12,1200,14.523,56964,10409,3445,0.9683,18.463,0.4327,0.3099,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,13,1300,15.483,70579,13635,20,0.9592,18.791,0.4401,0.1235,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,14,1400,16.501,88333,17770,16,1.0185,19.017,0.4488,0.2844,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,15,1500,17.488,110982,22686,37,0.9872,19.278,0.4567,0.1427,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,16,1600,18.545,139426,28465,21,1.0566,19.387,0.4628,0.1006,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,17,1700,19.641,173439,34040,27,1.0959,19.565,0.471,0.1191,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,18,1800,20.713,216900,43479,18,1.0725,19.763,0.4772,0.1278,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,19,1900,21.834,266601,49722,21,1.1206,19.857,0.484,-0.0069,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,20,2000,23.002,324404,57837,34,1.1683,20.033,0.492,-0.4581,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,21,2100,24.141,389960,65579,23,1.1389,20.143,0.4989,-0.777,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,22,2200,25.284,464698,74756,18,1.1425,20.297,0.5065,-1.1035,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,23,2300,26.476,549960,85282,20,1.1921,20.366,0.5126,-1.5186,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,24,2400,27.696,640841,90898,17,1.2209,20.43,0.5181,-1.892,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,25,2500,28.917,733110,92297,28,1.2204,20.488,0.5239,-2.2661,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,26,2600,30.182,825735,92645,20,1.265,20.569,0.5288,-2.6323,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,27,2700,31.49,922037,96329,27,1.3076,20.63,0.5335,-3.0294,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,28,2800,32.854,1011997,89982,22,1.3642,20.73,0.5402,-3.3561,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,29,2900,34.218,1100884,88918,31,1.3648,20.778,0.5445,-3.7028,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
