method,iter,t,test_psnr,test_ssim,N
baseline,200,2.76,17.773,0.3331,32049
baseline,500,6.67,17.737,0.3355,32049
baseline,1000,12.53,20.484,0.4114,42918
baseline,1500,17.49,21.384,0.4552,110982
baseline,2000,23.0,21.979,0.4975,324404
baseline,3000,35.61,22.931,0.5668,1188447
baseline,4000,50.98,23.448,0.6099,1968140
baseline,5000,69.82,24.166,0.6528,2724879
agentic,200,2.75,17.761,0.3338,32049
agentic,600,7.89,19.783,0.38,33923
agentic,1000,11.9,21.71,0.4576,61465
agentic,1600,18.26,21.502,0.4746,105689
agentic,2000,22.59,21.191,0.4825,150781
agentic,3000,34.45,23.338,0.5837,529680
agentic,4000,49.2,22.502,0.611,1386711
agentic,5000,67.57,24.496,0.6672,2096616
