method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
agentic,1,200,1.824,182686,0,0,1.8238,11.403,0.3885,0.5972,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.5017,0.0041,1.1318,1.7937,0.7962,1.8069,1.2112
agentic,2,400,3.598,182686,0,0,1.7743,11.497,0.3919,0.0594,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4166,0.0025,0.813,1.9115,0.7524,1.9286,1.4611
agentic,3,600,5.248,183027,341,0,1.6504,12.504,0.4093,0.4231,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4099,0.0024,0.7398,1.9144,0.7095,1.931,1.4818
agentic,4,800,6.822,193699,10672,0,1.5734,14.278,0.4821,1.6527,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4004,0.0023,0.6179,1.918,0.6206,1.9328,1.5145
agentic,5,1000,8.361,193699,0,0,1.5392,16.274,0.545,1.894,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.3976,0.0023,0.5085,1.9155,0.5242,1.9279,1.5327
agentic,6,1200,10.007,216369,22670,0,1.6455,15.86,0.5516,-0.1509,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.3945,0.0022,0.4425,1.9135,0.4753,1.9264,1.5519
agentic,7,1400,11.828,216369,0,0,1.8212,16.128,0.5592,0.2243,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4145,0.0026,0.5447,1.8851,0.5429,1.901,1.4616
agentic,8,1600,13.772,255996,39628,1,1.9442,16.388,0.5698,-0.2503,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4045,0.0024,0.536,1.9018,0.564,1.9193,1.5053
agentic,9,1800,15.726,313965,58018,49,1.954,16.6,0.5753,0.3139,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4236,0.0028,0.5913,1.8727,0.5803,1.8907,1.4289
agentic,10,2000,17.637,364156,50191,0,1.9105,17.274,0.6079,0.7513,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.3931,0.0022,0.4318,1.9143,0.4693,1.9276,1.5579
agentic,11,2200,19.638,364156,0,0,2.0013,18.151,0.6362,0.6762,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.3931,0.0022,0.4103,1.9097,0.4549,1.9251,1.5608
agentic,12,2400,21.757,417697,53541,0,2.1191,17.689,0.6284,-0.5191,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.3975,0.0023,0.4203,1.9034,0.4626,1.9196,1.5446
agentic,13,2600,23.969,417697,0,0,2.2125,17.894,0.632,0.1133,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4214,0.0028,0.5111,1.8652,0.5252,1.885,1.4427
agentic,14,2800,26.242,443147,25724,274,2.2727,17.462,0.6307,-0.9843,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4123,0.0026,0.5109,1.8822,0.5462,1.9043,1.4805
agentic,15,3000,28.496,502807,61519,1859,2.2537,18.053,0.6343,0.2873,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4332,0.003,0.6042,1.8493,0.6014,1.874,1.3968
agentic,16,3200,30.795,561570,58763,0,2.2996,18.207,0.6534,0.2883,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.405,0.0024,0.4247,1.8898,0.47,1.9084,1.5199
agentic,17,3400,33.276,561570,0,0,2.481,18.822,0.6786,0.2036,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.402,0.0024,0.4167,1.8923,0.466,1.9118,1.5299
agentic,18,3600,35.767,621861,60291,0,2.4909,18.552,0.6722,-0.3382,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4054,0.0025,0.4248,1.887,0.4723,1.9071,1.5174
agentic,19,3800,38.236,621861,0,0,2.4687,18.582,0.6648,-0.3171,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4373,0.0031,0.5346,1.8308,0.5477,1.8567,1.391
agentic,20,4000,40.776,653203,42407,11065,2.5397,18.521,0.665,-0.1675,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4384,0.0032,0.6045,1.8336,0.6149,1.864,1.3799
agentic,21,4200,43.399,653203,0,0,2.6237,18.816,0.6834,0.003,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4329,0.003,0.5364,1.8407,0.5546,1.866,1.4036
agentic,22,4400,46.103,707432,54238,9,2.7036,18.848,0.6824,-0.0117,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4174,0.0027,0.4661,1.8671,0.5076,1.8908,1.4717
agentic,23,4600,48.731,707432,0,0,2.6278,19.251,0.7023,-0.0327,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4094,0.0025,0.4339,1.8798,0.4817,1.9014,1.5031
agentic,24,4800,51.307,769900,62468,0,2.5765,19.297,0.6984,-0.0185,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4141,0.0026,0.4455,1.8718,0.4905,1.8945,1.486
agentic,25,5000,54.057,769900,0,0,2.7493,19.405,0.7145,-0.0944,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4175,0.0027,0.4449,1.8661,0.4867,1.8888,1.4765
agentic,26,5200,56.835,834226,64326,0,2.7778,19.399,0.7055,-0.1676,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.407,0.0025,0.4236,1.8833,0.4735,1.9044,1.5131
agentic,27,5400,59.542,834226,0,0,2.7071,18.496,0.6914,-0.3614,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4334,0.003,0.5167,1.8355,0.5407,1.8621,1.4045
agentic,28,5600,62.377,847394,33283,20115,2.8355,18.977,0.6969,-0.1431,stop,200,conservative,50,opacity_only,reset_if_plateau,continue,0.4463,0.0033,0.6164,1.8171,0.6239,1.8502,1.3566
agentic,29,5800,65.262,847394,0,0,2.8851,19.638,0.718,0.1571,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4454,0.0033,0.5625,1.8162,0.5711,1.8442,1.365
agentic,30,6000,68.188,899436,52045,3,2.9254,19.261,0.713,-0.3759,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4186,0.0027,0.452,1.8643,0.4971,1.8874,1.4728
agentic,31,6200,70.987,899436,0,0,2.7991,19.104,0.71,-0.087,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4449,0.0033,0.5633,1.8144,0.5771,1.8448,1.3655
agentic,32,6400,73.859,912664,23192,9964,2.8725,19.228,0.7147,-0.2652,stop,200,default,400,opacity_only,reset_if_plateau,continue,0.4243,0.0028,0.4819,1.8538,0.5262,1.88,1.449
agentic,33,6600,76.833,912664,0,0,2.9732,19.6,0.7278,0.0286,stop,200,conservative,400,opacity_only,reset_if_plateau,continue,0.4473,0.0033,0.5841,1.811,0.5956,1.843,1.3568
