method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,1,100,1.033,182686,0,0,1.0333,11.184,0.3856,0.4645,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,2,200,1.914,182686,0,0,0.8809,11.317,0.3873,0.0389,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,3,300,2.753,182686,0,0,0.8387,11.366,0.3891,0.0254,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,4,400,3.573,182686,0,0,0.8201,11.37,0.3899,-0.0448,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,5,500,4.405,182686,0,0,0.832,11.559,0.3924,0.2204,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,6,600,5.277,182711,25,0,0.8724,10.78,0.3738,-1.3511,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,7,700,6.047,171867,141,10985,0.7695,12.866,0.4216,1.3912,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,8,800,6.852,170213,927,2581,0.8049,13.969,0.4585,1.246,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,9,900,7.65,171067,2402,1548,0.7986,14.37,0.4793,1.0074,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,10,1000,8.438,173344,3443,1166,0.7879,15.212,0.496,0.1174,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,11,1100,9.236,177086,4619,877,0.7975,15.524,0.5132,0.7074,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,12,1200,10.07,182875,6528,739,0.8341,15.671,0.5173,-0.272,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,13,1300,10.877,167810,695,15760,0.8073,15.541,0.5096,0.3151,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,14,1400,11.7,170541,4303,1572,0.8233,15.705,0.5247,-0.4605,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,15,1500,12.512,175907,6231,865,0.8115,16.116,0.5266,0.6221,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,16,1600,13.31,183541,8158,524,0.7984,16.297,0.5423,-0.0644,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,17,1700,14.102,167198,1447,17790,0.7919,15.549,0.5205,-0.8088,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,18,1800,14.9,171278,5453,1373,0.7973,16.144,0.5396,0.6695,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,19,1900,15.72,178854,8280,704,0.8206,16.501,0.5527,0.126,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,20,2000,16.519,187384,9047,517,0.799,16.965,0.5627,0.7529,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,21,2100,17.332,196879,9919,424,0.8125,16.913,0.5631,-0.4436,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,22,2200,18.176,181816,1928,16991,0.8441,16.519,0.547,-0.4359,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,23,2300,19.024,187980,7572,1408,0.8479,17.058,0.5693,0.5581,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,24,2400,19.886,197067,9818,731,0.8618,17.117,0.5698,-0.0269,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,25,2500,20.743,206783,10242,526,0.8579,17.047,0.577,-0.0824,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,26,2600,21.597,186933,1958,21808,0.8538,16.974,0.5645,-0.2746,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,27,2700,22.463,193703,8201,1431,0.8659,16.666,0.566,-0.344,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,28,2800,23.324,203493,10622,832,0.8605,16.948,0.5747,0.365,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,29,2900,24.183,214864,11911,540,0.8596,17.36,0.5849,0.3548,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,30,3000,25.047,225384,10936,416,0.864,17.491,0.5915,0.0162,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,31,3100,25.913,230305,12727,7806,0.866,14.798,0.5593,-1.6838,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,32,3200,26.742,243227,13521,599,0.8283,17.044,0.5879,1.334,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,33,3300,27.589,256089,13334,472,0.8475,16.854,0.5887,-0.2437,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,34,3400,28.444,269131,13450,408,0.855,17.008,0.5919,-0.0445,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,35,3500,29.303,283009,14253,375,0.8588,17.111,0.5995,0.2163,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,36,3600,30.17,296696,14032,345,0.8669,17.103,0.5998,-0.3124,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,37,3700,31.05,310039,13677,334,0.8805,17.228,0.6056,0.0287,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,38,3800,31.957,324567,14888,360,0.9065,17.144,0.6032,-0.2153,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,39,3900,32.855,340082,15844,329,0.8987,17.325,0.6089,0.1142,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,40,4000,33.77,353453,13731,360,0.915,17.383,0.6119,-0.0888,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,41,4100,34.653,367810,14673,316,0.8826,17.236,0.6075,-0.1239,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,42,4200,35.549,383328,15872,354,0.8955,17.51,0.6162,0.0442,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,43,4300,36.458,397174,14162,316,0.9091,17.567,0.6257,0.2309,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,44,4400,37.374,410598,13785,361,0.9166,17.608,0.6258,-0.176,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,45,4500,38.288,426059,15848,387,0.9135,17.701,0.629,-0.0259,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,46,4600,39.211,439965,14308,402,0.9228,17.802,0.6323,0.0378,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,47,4700,40.155,453207,13661,419,0.9443,17.905,0.6356,0.0227,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,48,4800,41.103,469174,16402,435,0.9482,17.875,0.6378,-0.0979,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,49,4900,42.102,482725,14008,457,0.9987,17.844,0.6407,-0.1098,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,50,5000,43.106,495856,13518,387,1.0043,18.042,0.6461,0.1116,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,51,5100,44.078,510844,15423,435,0.9722,18.042,0.6512,-0.1058,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
