method,iter,t,test_psnr,test_ssim,N
baseline,200,1.91,11.029,0.383,182686
baseline,500,4.4,11.329,0.389,182686
baseline,1000,8.44,14.582,0.4947,173344
baseline,1500,12.51,15.442,0.5268,175907
baseline,2000,16.52,15.895,0.5563,187384
baseline,3000,25.05,16.686,0.5887,225384
baseline,4000,33.77,17.206,0.6161,353453
baseline,5000,43.11,17.803,0.6473,495856
baseline,7000,64.24,18.964,0.6906,763127
baseline,10000,101.43,19.517,0.7338,1099729
baseline,15000,175.24,20.556,0.7765,1434497
baseline,30000,388.57,21.449,0.7983,1434497
agentic,200,1.82,11.065,0.3838,182686
agentic,600,5.25,12.053,0.4062,183027
agentic,1000,8.36,15.658,0.5397,193699
agentic,1600,13.77,15.878,0.5686,255996
agentic,2000,17.64,17.017,0.6099,364156
agentic,3000,28.5,17.734,0.6384,502807
agentic,4000,40.78,18.175,0.6717,653203
agentic,5000,54.06,19.254,0.7197,769900
agentic,7000,82.68,20.105,0.741,957631
agentic,10000,129.9,20.196,0.7693,1353802
agentic,15000,217.1,21.195,0.8057,1693865
agentic,30000,463.53,22.092,0.8251,1693865
