method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
agentic,1,200,1.892,182686,0,0,1.8918,11.248,0.3865,0.4302,continue,200,off,100,opacity_only,no_reset,continue,0.9855,0.0114,0.8557,0.8469,0.7077,0.7398,0.6717
agentic,2,300,2.799,182686,0,0,0.9067,11.302,0.3878,0.0446,continue,100,off,100,opacity_only,no_reset,continue,1.0312,0.0119,0.8003,0.9023,0.7071,0.7609,0.641
agentic,3,400,3.73,182686,0,0,0.9317,11.298,0.3884,-0.092,continue,100,off,100,opacity_only,no_reset,continue,1.0231,0.0118,0.8113,0.8915,0.7079,0.7562,0.6458
agentic,4,500,4.652,182686,0,0,0.9216,11.427,0.3899,0.1423,continue,100,off,100,opacity_only,no_reset,continue,1.0051,0.0116,0.8249,0.8719,0.709,0.7506,0.6545
agentic,5,600,5.615,182686,0,0,0.9631,11.562,0.3921,0.0942,continue,100,off,100,opacity_only,no_reset,continue,1.0204,0.0118,0.8145,0.8861,0.7073,0.7552,0.6475
agentic,6,700,6.627,182684,0,2,1.0122,10.794,0.3741,-1.2749,continue,100,off,100,opacity_only,no_reset,continue,1.0246,0.0118,0.8098,0.8936,0.7082,0.7566,0.6451
agentic,7,800,7.519,182518,0,166,0.8916,13.324,0.4358,2.0803,continue,100,off,100,opacity_only,no_reset,continue,1.0023,0.0116,0.8283,0.8671,0.7085,0.7496,0.6563
agentic,8,900,8.35,181980,0,538,0.8311,14.51,0.4697,1.4668,continue,100,off,100,opacity_only,no_reset,continue,1.025,0.0118,0.8098,0.8931,0.7076,0.7576,0.6445
agentic,9,1000,9.192,181267,0,713,0.8418,15.273,0.4967,0.6983,continue,100,off,100,opacity_only,no_reset,continue,1.0298,0.0119,0.8049,0.9011,0.7082,0.7595,0.6417
agentic,10,1100,10.044,180661,0,606,0.8527,15.597,0.5155,0.2973,continue,100,off,100,opacity_only,no_reset,continue,1.0294,0.0119,0.806,0.9006,0.7093,0.7591,0.641
agentic,11,1200,10.855,180143,0,518,0.8102,15.929,0.526,0.1233,continue,100,off,100,opacity_only,no_reset,continue,1.0317,0.012,0.8038,0.9042,0.7096,0.76,0.6397
