method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,1,100,0.937,182686,0,0,0.9371,11.184,0.3856,0.4704,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,2,200,1.843,182686,0,0,0.9061,11.317,0.3873,0.0378,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,3,300,2.733,182686,0,0,0.8902,11.366,0.3891,0.0229,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,4,400,3.588,182686,0,0,0.8547,11.37,0.3899,-0.0465,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,5,500,4.43,182686,0,0,0.8415,11.559,0.3924,0.2197,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,6,600,5.351,182711,25,0,0.9215,10.78,0.3738,-1.3517,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,7,700,6.156,171883,143,10971,0.8048,12.846,0.4231,1.3636,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,8,800,6.989,170235,885,2533,0.833,14.309,0.4663,1.656,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,9,900,7.837,171074,2385,1546,0.8477,14.583,0.4783,0.4759,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,10,1000,8.681,173191,3301,1184,0.8444,14.949,0.4905,0.053,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,11,1100,9.519,176823,4531,899,0.8382,15.603,0.5139,0.7524,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,12,1200,10.351,182531,6408,700,0.8323,15.78,0.5207,0.0796,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,13,1300,11.197,188644,6809,696,0.8458,16.259,0.528,0.6984,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,14,1400,12.042,195994,7916,566,0.8445,16.277,0.5398,-0.3407,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,15,1500,12.863,176954,1091,20131,0.8216,15.539,0.5146,-0.4746,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,16,1600,13.703,180979,5591,1566,0.8401,16.089,0.5357,0.0946,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,17,1700,14.534,187601,7537,915,0.8302,16.302,0.5397,0.3817,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,18,1800,15.359,195500,8570,671,0.8257,16.366,0.55,0.214,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,19,1900,16.193,205290,10184,394,0.8337,16.368,0.5549,-0.3224,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,20,2000,17.02,186463,1544,20371,0.8268,16.638,0.553,0.4536,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,21,2100,17.868,191594,6430,1299,0.8479,16.73,0.5592,-0.3134,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,22,2200,18.75,200284,9430,740,0.8826,16.952,0.5645,0.564,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,23,2300,19.668,210567,10811,528,0.9173,17.173,0.5748,-0.0175,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,24,2400,20.583,221764,11576,379,0.9154,17.26,0.5778,-0.0502,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,25,2500,21.485,201821,1781,21724,0.9016,16.651,0.5585,-0.7431,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,26,2600,22.4,208055,7804,1570,0.9149,17.231,0.5788,0.5551,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,27,2700,23.309,218004,10854,905,0.9093,16.826,0.5746,-0.514,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,28,2800,24.23,201615,2760,19149,0.9209,16.516,0.5606,-0.224,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,29,2900,25.107,209006,8800,1409,0.8775,17.195,0.5793,0.563,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,30,3000,26.008,217979,9763,790,0.9007,17.361,0.5852,-0.2117,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,31,3100,26.927,222137,12179,8021,0.9188,14.98,0.558,-1.3588,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,32,3200,27.79,234475,13064,726,0.8627,16.809,0.5822,0.9884,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,33,3300,28.654,247065,13176,586,0.8645,16.743,0.5841,-0.211,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,34,3400,29.54,260245,13617,437,0.8861,17.12,0.5909,0.228,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,35,3500,30.437,274103,14276,418,0.8969,17.211,0.5987,0.1345,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
