method,iter,t,test_psnr,test_ssim,N
baseline,200,1.84,11.029,0.383,182686
baseline,500,4.43,11.329,0.389,182686
baseline,1000,8.68,14.434,0.494,173191
baseline,1500,12.86,14.795,0.5116,176954
baseline,2000,17.02,15.579,0.5456,186463
baseline,3000,26.01,16.423,0.5831,217979
baseline,4000,35.06,17.078,0.6145,344793
baseline,5000,44.8,17.788,0.648,487622
baseline,7000,67.07,18.937,0.6916,755665
baseline,10000,106.55,19.725,0.7384,1092297
baseline,15000,184.31,20.423,0.7783,1430127
baseline,30000,405.83,21.478,0.7998,1430127
agentic,200,1.89,10.951,0.3816,182686
agentic,500,4.65,11.236,0.387,182686
agentic,1000,9.19,14.258,0.4816,181267
agentic,1500,13.25,15.855,0.5413,179084
agentic,2000,17.33,16.42,0.5804,177699
agentic,3000,25.44,17.331,0.6215,175653
agentic,4000,33.46,17.87,0.6464,174204
agentic,5000,41.67,18.702,0.6705,173096
agentic,7000,57.17,19.404,0.6998,171373
agentic,10000,80.31,19.787,0.7228,169846
agentic,15000,120.26,20.165,0.7464,168510
agentic,30000,223.25,20.949,0.7634,168510
