method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
agentic,1,50,1.405,182686,0,0,1.4049,12.458,0.414,1.6261,stop,50,default,100,opacity_only,reset_if_plateau,continue,0.8098,0.0107,1.3147,1.0202,1.0167,1.2527,0.4716
agentic,2,250,6.524,182686,0,0,5.1196,14.921,0.4903,1.8881,stop,200,default,100,opacity_only,reset_if_plateau,continue,0.7941,0.0085,1.3405,1.247,1.311,1.4331,0.4939
agentic,3,450,10.779,182686,0,0,4.2547,15.452,0.5133,0.3069,stop,200,default,200,opacity_only,no_reset,continue,0.8559,0.0075,1.305,1.1474,1.4488,1.2289,0.6051
agentic,4,650,14.757,184401,2129,414,3.9778,15.795,0.5283,0.287,stop,200,default,200,opacity_only,no_reset,continue,0.8631,0.0071,1.3548,1.1723,1.5222,1.2401,0.613
agentic,5,850,18.466,191813,7772,360,3.7092,15.989,0.5305,0.0438,stop,200,default,200,opacity_only,no_reset,continue,0.8656,0.0069,1.391,1.1921,1.567,1.2502,0.6176
agentic,6,1050,21.983,201045,9561,329,3.5169,16.037,0.5327,-0.7066,stop,200,default,200,opacity_only,no_reset,continue,0.8684,0.0067,1.4187,1.2044,1.5982,1.2545,0.6218
agentic,7,1250,25.5,210507,10493,1031,3.5169,16.466,0.5554,0.2359,stop,200,default,200,opacity_only,no_reset,continue,0.9024,0.0086,1.1397,0.9317,1.2732,0.9761,0.6517
agentic,8,1450,28.925,222399,12105,213,3.4251,16.579,0.5583,0.4568,stop,200,default,200,opacity_only,no_reset,continue,0.8896,0.0075,1.2916,1.0756,1.4721,1.1291,0.6368
agentic,9,1650,32.333,235352,13337,384,3.4075,16.873,0.5582,-0.4653,stop,200,default,200,opacity_only,no_reset,continue,0.8893,0.0074,1.3073,1.086,1.4934,1.1372,0.6373
agentic,10,1850,35.732,248458,13890,784,3.3993,17.011,0.574,-0.0835,stop,200,default,200,opacity_only,no_reset,continue,0.9058,0.0082,1.1877,0.965,1.3604,0.9992,0.6551
agentic,11,2050,39.198,264246,16051,263,3.4659,16.988,0.5766,-0.0434,stop,200,default,200,opacity_only,no_reset,continue,0.8927,0.0072,1.3322,1.0973,1.5257,1.1418,0.6407
agentic,12,2250,42.676,279361,16025,910,3.4786,17.373,0.5881,-0.1745,stop,200,default,200,opacity_only,no_reset,continue,0.9039,0.0081,1.2036,0.9819,1.3678,1.039,0.6469
agentic,13,2450,46.165,294688,16410,1083,3.4886,17.596,0.5968,0.0866,stop,200,default,400,opacity_only,no_reset,continue,0.9209,0.0089,1.0918,0.8648,1.2137,0.9019,0.6665
agentic,14,2650,49.658,311440,17120,368,3.4928,17.354,0.5916,-0.3655,stop,200,default,200,opacity_only,no_reset,continue,0.9091,0.0082,1.1928,0.9668,1.3569,1.0183,0.6518
agentic,15,2850,53.171,328138,17713,1015,3.513,17.548,0.6055,-0.043,stop,200,default,400,opacity_only,no_reset,continue,0.9236,0.0089,1.0897,0.8586,1.2119,0.8927,0.6693
agentic,16,3050,56.758,344318,16581,401,3.587,17.518,0.6037,-0.29,stop,200,default,200,opacity_only,no_reset,continue,0.9115,0.0082,1.1896,0.9596,1.3539,1.0087,0.6542
agentic,17,3250,60.406,359967,17398,1749,3.648,17.952,0.625,0.0545,stop,200,default,400,opacity_only,no_reset,continue,0.9347,0.0097,1.0044,0.773,1.0541,0.8118,0.6776
agentic,18,3450,64.032,359967,0,0,3.626,18.086,0.6322,-0.2294,stop,200,default,400,opacity_only,no_reset,continue,0.9262,0.0092,1.0709,0.8438,1.1631,0.897,0.6646
agentic,19,3650,67.7,374057,15693,1603,3.6686,18.414,0.642,-0.0837,stop,200,default,400,opacity_only,no_reset,continue,0.9374,0.0098,0.993,0.7627,1.0352,0.7996,0.6799
agentic,20,3850,71.39,374057,0,0,3.6901,18.439,0.6458,-0.1844,stop,200,default,400,opacity_only,no_reset,continue,0.9252,0.0091,1.08,0.8539,1.1818,0.9093,0.6627
agentic,21,4050,75.082,391603,18436,890,3.6918,17.771,0.6279,-0.4047,stop,200,default,400,opacity_only,no_reset,continue,0.9251,0.0091,1.0736,0.848,1.1704,0.9037,0.6628
agentic,22,4250,78.816,391603,0,0,3.7341,18.565,0.6589,0.0184,stop,200,default,400,opacity_only,no_reset,continue,0.9407,0.0099,0.9815,0.7483,1.0113,0.7821,0.6836
agentic,23,4450,82.515,407344,17083,1342,3.6988,18.318,0.6454,-0.3138,stop,200,default,400,opacity_only,no_reset,continue,0.93,0.0093,1.0584,0.8285,1.1422,0.8795,0.6679
agentic,24,4650,86.248,407344,0,0,3.7332,18.565,0.6601,-0.1321,stop,200,default,400,opacity_only,no_reset,continue,0.9417,0.0099,0.9804,0.7464,1.0106,0.7798,0.6844
agentic,25,4850,89.992,425317,19206,1233,3.7441,18.326,0.6554,-0.2065,stop,200,default,400,opacity_only,no_reset,continue,0.93,0.0092,1.0615,0.8317,1.1494,0.8837,0.6673
