method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,1,100,2.78,182686,0,0,2.7797,13.114,0.4319,2.2705,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,2,200,5.313,182686,0,0,2.5338,14.339,0.4717,1.0699,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,3,300,7.665,182686,0,0,2.3515,14.901,0.4954,0.2004,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,4,400,9.802,182686,0,0,2.1369,15.561,0.5181,0.5124,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,5,500,11.941,182686,0,0,2.1392,15.786,0.5286,-0.0079,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,6,600,14.039,183918,1262,30,2.098,15.609,0.5352,0.28,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,7,700,16.12,189528,5635,25,2.0811,15.532,0.5284,-0.7604,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,8,800,18.34,178110,620,12038,2.2199,14.496,0.5017,-0.9487,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,9,900,20.915,181268,4296,1138,2.5752,15.641,0.5294,0.7826,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,10,1000,23.224,187149,6457,576,2.3086,15.87,0.5321,-0.2397,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,11,1100,25.574,175462,1185,12872,2.3506,15.39,0.5191,-0.3867,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,12,1200,28.192,180296,5853,1019,2.618,15.775,0.5367,0.2077,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,13,1300,30.795,187023,7260,533,2.6026,15.853,0.5412,0.03,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,14,1400,33.336,195581,8888,330,2.5414,16.463,0.5512,-0.0214,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,15,1500,35.802,204713,9415,283,2.4654,16.456,0.5505,0.1044,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,16,1600,38.317,215128,10636,221,2.5154,16.594,0.5626,-0.2218,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,17,1700,40.753,193992,1699,22835,2.4353,15.82,0.5381,-0.5125,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,18,1800,43.412,198945,6605,1652,2.6595,16.508,0.5591,0.2354,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,19,1900,46.11,208249,10080,776,2.6974,16.741,0.5688,-0.0773,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,20,2000,48.701,218433,10732,548,2.5915,16.967,0.5742,0.1317,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,21,2100,51.228,229274,11259,418,2.5271,17.153,0.5785,-0.2321,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,22,2200,53.97,207961,1872,23185,2.7418,16.66,0.5589,-0.3805,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,23,2300,56.72,214969,8681,1673,2.7499,17.318,0.5822,0.1267,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,24,2400,59.428,225240,11150,879,2.7083,17.287,0.5796,-0.1663,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,25,2500,62.136,203489,1708,23459,2.708,16.626,0.5653,-0.4535,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,26,2600,65.056,210123,8212,1578,2.9202,17.376,0.5827,0.1338,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,27,2700,68.001,220444,11214,893,2.9449,17.025,0.5796,-0.3515,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,28,2800,70.915,232306,12505,643,2.9136,17.199,0.5843,-0.0494,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,29,2900,73.728,244760,12905,451,2.8136,17.608,0.5941,-0.0397,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,30,3000,76.566,256143,11784,401,2.8371,17.704,0.5975,-0.2215,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,31,3100,79.363,261847,13791,8087,2.7971,14.693,0.566,-0.859,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,32,3200,81.548,274919,13768,696,2.1858,16.789,0.5914,0.2583,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,33,3300,83.746,287986,13614,547,2.1976,16.732,0.5895,-0.1724,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,34,3400,85.951,301341,13764,409,2.2046,16.993,0.5925,-0.0671,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,35,3500,88.172,315207,14253,387,2.2211,17.294,0.608,0.0059,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,36,3600,90.409,329167,14347,387,2.2374,16.944,0.6053,-0.2215,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,37,3700,92.653,342635,13811,343,2.2433,17.36,0.617,-0.069,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,38,3800,94.938,357291,15011,355,2.2859,17.267,0.6125,-0.1948,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,39,3900,97.229,372974,16038,355,2.2904,17.242,0.6152,-0.0833,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,40,4000,99.561,386349,13719,344,2.3318,17.596,0.6225,-0.0959,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,41,4100,101.906,400797,14795,347,2.3454,17.377,0.6174,-0.1616,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,42,4200,104.316,416506,16072,363,2.4106,17.673,0.6263,-0.107,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,43,4300,106.738,430246,14118,378,2.4219,17.74,0.6325,-0.0634,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,44,4400,109.131,443507,13587,326,2.3924,17.777,0.633,-0.157,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,45,4500,111.553,458621,15484,370,2.422,17.852,0.6362,-0.1194,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,46,4600,113.991,472353,14080,348,2.4384,17.866,0.6395,-0.1059,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,47,4700,116.48,485482,13529,400,2.4892,17.997,0.6416,-0.1158,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,48,4800,119.014,501141,16023,364,2.5335,17.872,0.6425,-0.1611,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,49,4900,121.517,514669,13944,416,2.5028,17.932,0.6453,-0.144,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,50,5000,123.98,527593,13281,357,2.4633,18.053,0.6498,-0.1037,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,51,5100,126.478,542410,15185,368,2.4979,18.128,0.6563,-0.1143,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,52,5200,129.161,555133,13100,377,2.6831,18.162,0.6508,-0.1735,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,53,5300,131.737,570072,15393,454,2.5757,18.17,0.6521,-0.1098,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,54,5400,134.282,582533,12872,411,2.5452,18.044,0.653,-0.1637,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,55,5500,136.87,595342,13324,515,2.5882,18.125,0.6533,-0.1243,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,56,5600,139.429,608975,14041,408,2.5587,18.14,0.6579,-0.1523,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,57,5700,142.042,622043,13532,464,2.6127,18.257,0.6624,-0.1113,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,58,5800,144.698,636721,15247,569,2.6563,18.364,0.665,-0.1304,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,59,5900,147.331,649339,13096,478,2.6337,18.237,0.6617,-0.1417,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
