method,iter,t,test_psnr,test_ssim,N
baseline,200,5.31,13.525,0.4601,182686
baseline,500,11.94,15.371,0.5257,182686
baseline,1000,23.22,15.178,0.5293,187149
baseline,1500,35.8,15.849,0.5472,204713
baseline,2000,48.7,16.193,0.5697,218433
baseline,3000,76.57,16.84,0.595,256143
baseline,4000,99.56,17.192,0.6247,386349
baseline,5000,123.98,18.073,0.6551,527593
baseline,7000,177.77,19.055,0.6947,790995
baseline,10000,271.38,19.543,0.7361,1119406
baseline,15000,457.02,20.319,0.7748,1447442
baseline,30000,995.15,21.297,0.7966,1447442
agentic,250,6.52,14.34,0.4821,182686
agentic,650,14.76,15.501,0.5251,184401
agentic,1050,21.98,15.921,0.5374,201045
agentic,1650,32.33,16.254,0.5579,235352
agentic,2050,39.2,16.686,0.5762,264246
agentic,3050,56.76,17.655,0.6087,344318
agentic,4050,75.08,18.293,0.6358,391603
agentic,5050,93.78,19.035,0.6786,425317
agentic,7050,132.86,19.67,0.711,509571
agentic,10050,195.54,19.762,0.7312,639192
agentic,15050,307.83,20.725,0.7723,719667
agentic,30000,649.17,21.283,0.7892,719667
