method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
agentic,1,200,2.312,182686,0,0,2.3123,14.325,0.4486,3.2002,stop,200,off,50,opacity_only,force_reset,continue,0.706,0.0035,3.4053,1.2331,0.5967,1.7447,1.6499
agentic,2,400,4.337,182686,0,0,2.0243,15.472,0.488,1.1804,stop,200,off,50,opacity_and_size,no_reset,continue,0.4611,0.0012,2.1272,1.7316,0.4524,1.3092,1.3093
agentic,3,600,6.326,182686,0,0,1.9892,15.863,0.5061,0.3343,stop,200,off,50,opacity_and_size,no_reset,continue,0.4493,0.0012,1.8602,1.7327,0.4489,1.1485,1.22
agentic,4,800,8.354,182686,0,0,2.0286,16.143,0.5163,-0.1209,stop,200,off,50,opacity_and_size,no_reset,continue,0.454,0.0012,1.8542,1.7245,0.4518,1.1479,1.216
agentic,5,1000,10.473,182686,0,0,2.1183,16.521,0.5173,0.3595,stop,200,off,50,opacity_and_size,no_reset,continue,0.4822,0.0012,2.0526,1.6986,0.4625,1.2724,1.2751
agentic,6,1200,12.54,182686,0,0,2.0674,16.694,0.5301,0.0325,stop,200,off,50,opacity_and_size,no_reset,continue,0.4923,0.0013,1.8668,1.6518,0.4756,1.1764,1.2025
agentic,7,1400,14.62,182686,0,0,2.0798,16.78,0.5355,-0.1077,stop,200,off,50,opacity_and_size,no_reset,continue,0.4962,0.0013,1.8652,1.6446,0.4779,1.1765,1.2002
agentic,8,1600,16.683,182686,0,0,2.0633,16.824,0.5373,-0.0699,stop,200,off,50,opacity_only,no_reset,continue,0.4961,0.0013,2.0042,1.6625,0.4711,1.2501,1.2468
agentic,9,1800,18.752,182686,0,0,2.0689,17.03,0.5468,0.1928,stop,200,off,50,opacity_and_size,no_reset,continue,0.4946,0.0013,1.761,1.6374,0.4768,1.1088,1.1587
agentic,10,2000,20.912,182686,0,0,2.1596,17.345,0.5571,0.4168,stop,200,off,50,opacity_and_size,no_reset,continue,0.4833,0.0013,1.8233,1.6634,0.4698,1.1468,1.1885
agentic,11,2200,23.127,182686,0,0,2.2149,17.429,0.5583,-0.0962,stop,200,off,50,opacity_and_size,no_reset,continue,0.5189,0.0014,1.8186,1.5876,0.492,1.1561,1.1688
agentic,12,2400,25.428,182686,0,0,2.3018,17.632,0.564,-0.1398,stop,200,off,50,opacity_only,no_reset,continue,0.5315,0.0015,1.8642,1.5667,0.4995,1.1821,1.1803
agentic,13,2600,27.707,182686,0,0,2.2791,17.803,0.5695,0.1342,stop,200,off,50,opacity_only,no_reset,continue,0.5599,0.0016,1.9791,1.532,0.5085,1.2371,1.2051
agentic,14,2800,29.94,182686,0,0,2.2324,17.662,0.5704,-0.368,stop,200,off,50,opacity_only,no_reset,continue,0.5504,0.0016,1.8014,1.5278,0.5098,1.1455,1.1488
agentic,15,3000,32.246,182686,0,0,2.3057,17.951,0.5752,0.0109,stop,200,off,50,opacity_only,no_reset,continue,0.5558,0.0016,1.9555,1.5382,0.506,1.2254,1.198
agentic,16,3200,34.563,182686,0,0,2.3172,18.108,0.5846,0.1574,stop,200,off,50,opacity_only,no_reset,continue,0.5879,0.0019,1.7984,1.4414,0.5322,1.1441,1.1288
agentic,17,3400,36.856,182686,0,0,2.2929,18.263,0.5881,-0.1064,stop,200,off,50,opacity_only,no_reset,continue,0.5774,0.0018,1.7503,1.4578,0.5259,1.1197,1.1149
agentic,18,3600,39.095,182686,0,0,2.2391,18.25,0.5926,-0.0174,stop,200,off,50,opacity_only,no_reset,continue,0.5932,0.0019,1.7957,1.4307,0.535,1.1423,1.1254
agentic,19,3800,41.376,182686,0,0,2.2813,18.322,0.5927,-0.1794,stop,200,off,50,opacity_only,no_reset,continue,0.6019,0.002,1.8338,1.4165,0.5399,1.1603,1.1357
agentic,20,4000,43.711,182686,0,0,2.3351,18.212,0.5899,-0.2319,stop,200,off,50,opacity_only,no_reset,continue,0.6059,0.0019,2.0378,1.4318,0.535,1.2585,1.2016
agentic,21,4200,46.016,182686,0,0,2.3053,18.382,0.5945,-0.0482,stop,200,off,50,opacity_only,no_reset,continue,0.5955,0.0019,2.0117,1.4508,0.529,1.248,1.1966
agentic,22,4400,48.28,182686,0,0,2.2638,18.469,0.6008,-0.0195,stop,200,off,50,opacity_only,no_reset,continue,0.6035,0.002,1.8572,1.4144,0.5407,1.1711,1.1431
agentic,23,4600,50.544,182686,0,0,2.2642,18.497,0.6058,-0.1298,stop,200,off,50,opacity_only,no_reset,continue,0.5779,0.0018,1.7498,1.456,0.5258,1.1188,1.1138
agentic,24,4800,52.872,182686,0,0,2.3278,18.49,0.6035,-0.0655,stop,200,off,50,opacity_only,no_reset,continue,0.6193,0.0021,2.0772,1.4064,0.5425,1.2733,1.2091
agentic,25,5000,55.221,182686,0,0,2.349,18.695,0.6148,-0.0971,stop,200,off,50,opacity_only,no_reset,continue,0.602,0.002,1.8558,1.4168,0.5396,1.1704,1.1427
agentic,26,5200,57.544,182686,0,0,2.3232,18.795,0.6181,-0.0504,stop,200,off,50,opacity_only,no_reset,continue,0.5757,0.0018,1.7379,1.4586,0.5244,1.1124,1.1099
agentic,27,5400,59.896,182686,0,0,2.3513,18.747,0.6199,-0.1313,stop,200,off,50,opacity_only,no_reset,continue,0.5764,0.0018,1.7232,1.4557,0.5249,1.1046,1.104
agentic,28,5600,62.315,182686,0,0,2.4189,18.746,0.6171,-0.107,stop,200,off,50,opacity_only,no_reset,continue,0.6103,0.002,2.021,1.4214,0.5372,1.2497,1.193
agentic,29,5800,64.647,182686,0,0,2.3327,18.968,0.6285,-0.036,stop,200,off,50,opacity_only,no_reset,continue,0.592,0.0019,1.8019,1.4321,0.5337,1.1446,1.1269
agentic,30,6000,67.003,182686,0,0,2.3562,19.045,0.631,-0.09,stop,200,off,50,opacity_only,no_reset,continue,0.578,0.0018,1.7322,1.4529,0.5256,1.1091,1.1064
agentic,31,6200,69.358,182686,0,0,2.3544,18.952,0.634,-0.1206,stop,200,off,50,opacity_only,no_reset,continue,0.5895,0.0019,1.7566,1.4328,0.5323,1.1218,1.111
agentic,32,6400,71.813,182686,0,0,2.4548,19.075,0.633,-0.1124,stop,200,off,50,opacity_only,no_reset,continue,0.5997,0.0019,1.97,1.4391,0.5311,1.2277,1.1792
