method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,1,100,1.322,182686,0,0,1.3222,13.152,0.4323,2.4315,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,2,200,2.457,182686,0,0,1.1349,14.502,0.4737,1.3339,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,3,300,3.512,182686,0,0,1.0553,15.03,0.4935,0.4191,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,4,400,4.547,182686,0,0,1.0348,15.675,0.514,0.5646,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,5,500,5.647,182686,0,0,1.1001,15.836,0.5205,-0.1181,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,6,600,6.794,175668,804,7822,1.147,13.804,0.4764,-2.4137,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,7,700,7.964,177262,2471,877,1.1702,15.04,0.5069,1.1771,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,8,800,9.088,181749,4937,450,1.1241,15.547,0.5262,0.5354,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,9,900,10.15,187689,6206,266,1.0619,15.634,0.5269,0.2835,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,10,1000,11.229,194815,7351,225,1.0786,16.323,0.5349,0.1322,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,11,1100,12.407,203144,8532,203,1.1784,16.462,0.5435,0.2107,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,12,1200,13.477,213101,10111,154,1.0692,16.585,0.5515,0.0853,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,13,1300,14.549,223305,10377,173,1.0724,16.874,0.555,0.3206,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,14,1400,15.647,233687,10540,158,1.0975,16.709,0.5583,-0.3865,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
