method,iter,t,test_psnr,test_ssim,N
baseline,200,2.46,13.677,0.4627,182686
baseline,500,5.65,15.444,0.5216,182686
baseline,1000,11.23,15.303,0.5312,194815
baseline,1500,16.93,15.279,0.5312,210520
baseline,2000,23.05,16.653,0.5795,255415
baseline,3000,36.97,17.02,0.5999,272358
baseline,4000,51.27,17.385,0.6198,336889
baseline,5000,66.93,18.034,0.6494,459985
baseline,7000,105.34,19.191,0.6931,680146
baseline,10000,177.12,19.73,0.7342,946843
baseline,15000,324.23,20.628,0.7738,1195844
baseline,30000,797.09,21.263,0.7989,1195844
agentic,200,2.31,13.62,0.4449,182686
agentic,600,6.33,15.586,0.5046,182686
agentic,1000,10.47,16.097,0.5159,182686
agentic,1600,16.68,16.536,0.5393,182686
agentic,2000,20.91,16.931,0.5538,182686
agentic,3000,32.25,17.454,0.5763,182686
agentic,4000,43.71,17.616,0.5882,182686
agentic,5000,55.22,17.691,0.6072,182686
agentic,7000,79.6,18.646,0.6347,182686
agentic,10000,118.09,19.452,0.6829,182686
agentic,15000,185.27,20.202,0.7257,182686
agentic,30000,418.74,21.388,0.7569,182686
