block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
1,50,1.404,182686,0,0,0.0,50,off,200,off,no_reset,1.1105,0.0101,1.0816,0.7017,0.7156,0.6915,0.8319
2,100,2.686,182686,0,0,0.0,50,off,200,off,no_reset,1.1187,0.0101,1.1011,0.7119,0.7294,0.6824,0.8292
3,150,3.984,182686,0,0,0.0,50,off,200,off,no_reset,1.1187,0.0101,1.1013,0.712,0.7292,0.6822,0.8294
4,200,5.243,182686,0,0,0.0,50,off,200,off,no_reset,1.1195,0.0101,1.1022,0.712,0.7293,0.6822,0.8303
5,250,6.556,182686,0,0,0.0,50,off,200,off,no_reset,1.1202,0.0101,1.1031,0.7119,0.7295,0.6823,0.8312
6,300,7.803,182686,0,0,0.0,50,off,200,off,no_reset,1.1208,0.0101,1.1039,0.7118,0.7296,0.6823,0.8318
7,350,8.991,182686,0,0,0.0,50,off,200,off,no_reset,1.1208,0.0101,1.104,0.7119,0.7295,0.6821,0.8319
8,400,10.12,182686,0,0,0.0,50,off,200,off,no_reset,1.1213,0.0101,1.1045,0.7118,0.7296,0.6821,0.8325
9,450,11.232,182686,0,0,0.0,50,off,200,off,no_reset,1.1215,0.0101,1.1047,0.7118,0.7296,0.6821,0.8328
10,500,12.33,182686,0,0,0.0,50,off,200,off,no_reset,1.1221,0.0101,1.1054,0.7116,0.7298,0.6823,0.8334
11,550,13.412,182686,0,0,0.0,50,off,200,off,no_reset,1.1221,0.0101,1.1058,0.7116,0.7298,0.6821,0.8335
12,600,14.506,182686,0,0,0.0,50,off,200,off,no_reset,1.1217,0.0101,1.1055,0.7117,0.7296,0.6818,0.8333
13,650,15.631,182686,0,0,0.0,50,off,200,off,no_reset,1.1223,0.0101,1.1058,0.7116,0.7298,0.6821,0.8338
14,700,16.74,182686,0,0,0.0,50,off,200,off,no_reset,1.1223,0.0101,1.1058,0.7116,0.7297,0.6821,0.834
15,750,17.795,182686,0,0,0.0,50,off,200,off,no_reset,1.1222,0.0101,1.1059,0.7115,0.7297,0.682,0.8339
16,800,18.812,182686,0,0,-0.003,50,off,200,off,no_reset,1.1221,0.0101,1.1059,0.7116,0.7297,0.6818,0.834
17,850,19.834,182686,0,0,0.0,50,off,200,off,no_reset,1.1024,0.0102,1.0884,0.7042,0.728,0.6823,0.8152
18,900,20.882,182686,0,0,0.0,50,off,200,off,no_reset,1.1221,0.0101,1.1059,0.7113,0.7298,0.682,0.834
19,950,21.917,182686,0,0,0.0,50,off,200,off,no_reset,1.1231,0.0101,1.1065,0.7113,0.73,0.6823,0.835
20,1000,22.951,182686,0,0,0.0,50,off,200,off,no_reset,1.122,0.0101,1.1059,0.7114,0.7297,0.6817,0.834
21,1050,24.0,182686,0,0,0.0,50,off,200,off,no_reset,1.125,0.0101,1.1073,0.7118,0.7304,0.6821,0.8388
22,1100,25.104,182686,0,0,-0.0189,50,off,200,off,no_reset,1.1251,0.0101,1.1077,0.7117,0.7305,0.6821,0.839
23,1150,26.166,182686,0,0,0.0,50,off,200,off,no_reset,1.1046,0.0101,1.0894,0.7044,0.7285,0.6824,0.8196
24,1200,27.228,182686,0,0,-0.0065,50,off,200,off,no_reset,1.124,0.0101,1.1069,0.7118,0.7302,0.6816,0.8381
25,1250,28.287,182686,0,0,0.0,50,off,200,off,no_reset,1.1047,0.0101,1.0894,0.7042,0.7286,0.6826,0.8197
26,1300,29.314,182686,0,0,0.0,50,off,200,off,no_reset,1.124,0.0101,1.1069,0.7117,0.7302,0.6817,0.8382
27,1350,30.33,182686,0,0,0.0,50,off,200,off,no_reset,1.1243,0.0101,1.1069,0.7117,0.7302,0.6817,0.8386
28,1400,31.392,182686,0,0,-0.0039,50,off,200,off,no_reset,1.1246,0.0101,1.1071,0.7116,0.7303,0.6819,0.8388
29,1450,32.492,182686,0,0,0.0,50,off,200,off,no_reset,1.1038,0.0101,1.0893,0.7042,0.7285,0.682,0.8192
30,1500,33.589,182686,0,0,-0.0006,50,off,200,off,no_reset,1.1243,0.0101,1.1069,0.7114,0.7304,0.6819,0.8387
31,1550,34.63,182686,0,0,0.0,50,off,200,off,no_reset,1.1047,0.0101,1.0894,0.704,0.7286,0.6826,0.8201
32,1600,35.697,186021,3335,0,-0.131,50,default,200,off,no_reset,1.1242,0.0101,1.1067,0.7114,0.7304,0.6819,0.8388
33,1650,36.723,186021,0,0,0.0,50,off,200,off,no_reset,1.1072,0.0101,1.0931,0.7069,0.7288,0.6834,0.8217
34,1700,37.733,186021,0,0,0.0,50,off,200,off,no_reset,1.1234,0.0101,1.1065,0.7113,0.7302,0.6815,0.838
35,1750,38.786,186021,0,0,0.0,50,off,200,off,no_reset,1.1231,0.0101,1.1061,0.7114,0.7301,0.6813,0.8379
36,1800,39.843,195877,9856,0,-0.0539,50,default,200,off,no_reset,1.1241,0.0101,1.1067,0.7112,0.7304,0.6818,0.8389
37,1850,40.902,195877,0,0,0.0,50,off,200,off,no_reset,1.1067,0.0101,1.093,0.7068,0.7287,0.6831,0.8215
38,1900,41.945,195877,0,0,0.0,50,default,200,off,no_reset,1.1229,0.0101,1.106,0.7112,0.7301,0.6813,0.8378
39,1950,43.019,195877,0,0,0.0,50,default,200,off,no_reset,1.1272,0.0101,1.1112,0.7145,0.7306,0.6824,0.8412
40,2000,44.086,206272,10395,0,-0.105,50,default,200,off,no_reset,1.128,0.0101,1.1119,0.7143,0.7309,0.6828,0.8421
41,2050,45.142,206272,0,0,0.0,50,off,200,off,no_reset,1.1079,0.0101,1.0936,0.707,0.7292,0.6829,0.8247
42,2100,46.198,206272,0,0,0.0,50,default,200,off,no_reset,1.1253,0.0101,1.1072,0.7114,0.7308,0.6815,0.8421
43,2150,47.241,206272,0,0,0.0,50,default,200,off,no_reset,1.1295,0.0101,1.1125,0.7147,0.7314,0.6825,0.8454
44,2200,48.308,217086,10814,0,-0.097,50,default,200,off,no_reset,1.1294,0.0101,1.1126,0.7147,0.7313,0.6824,0.8454
45,2250,49.358,217086,0,0,0.0,50,off,200,off,no_reset,1.1083,0.0101,1.0935,0.7067,0.7293,0.6833,0.8253
46,2300,50.419,217086,0,0,0.0,50,default,200,off,no_reset,1.1242,0.0101,1.1065,0.7114,0.7306,0.681,0.8413
47,2350,51.52,217086,0,0,0.0,50,default,200,off,no_reset,1.129,0.0101,1.112,0.7145,0.7313,0.6825,0.8452
48,2400,52.649,228057,10971,0,-0.0468,50,default,200,off,no_reset,1.1288,0.0101,1.1119,0.7147,0.7311,0.6822,0.8451
49,2450,53.729,228057,0,0,0.0,50,off,200,off,no_reset,1.1075,0.0101,1.0933,0.7067,0.7291,0.6828,0.8249
50,2500,54.867,228057,0,0,-0.0023,50,default,200,off,no_reset,1.1243,0.0101,1.1062,0.7112,0.7307,0.6811,0.8417
51,2550,55.92,228057,0,0,0.0,50,off,200,off,no_reset,1.1081,0.0101,1.0936,0.7067,0.7294,0.6832,0.8256
52,2600,57.037,239944,11887,0,-0.0731,50,default,200,off,no_reset,1.1235,0.0101,1.1055,0.7113,0.7305,0.6809,0.8411
53,2650,58.15,239944,0,0,0.0,50,off,200,off,no_reset,1.1071,0.0101,1.0927,0.7065,0.7291,0.6829,0.8246
54,2700,59.247,239944,0,0,0.0,50,default,200,off,no_reset,1.1244,0.0101,1.1062,0.711,0.7308,0.6813,0.842
55,2750,60.37,239944,0,0,-0.0347,50,default,200,off,no_reset,1.1281,0.0101,1.1111,0.7143,0.7312,0.6822,0.8448
56,2800,61.521,239944,0,0,0.0,50,off,200,off,no_reset,1.1078,0.0101,1.0932,0.7065,0.7293,0.6832,0.8256
57,2850,62.662,239944,0,0,0.0,50,default,200,off,no_reset,1.1239,0.0101,1.1055,0.711,0.7306,0.6812,0.8418
58,2900,63.776,239944,0,0,-0.0186,50,default,200,off,no_reset,1.1283,0.0101,1.1108,0.7141,0.7313,0.6825,0.8453
59,2950,64.87,239944,0,0,0.0,50,off,200,off,no_reset,1.1075,0.0101,1.0928,0.7064,0.7293,0.6832,0.8256
60,3000,66.012,250169,10225,0,-0.0273,50,default,200,off,no_reset,1.1238,0.0101,1.1053,0.7109,0.7307,0.6813,0.8419
61,3050,67.177,250169,0,0,0.0,50,off,200,off,no_reset,1.1079,0.0101,1.093,0.7066,0.7296,0.6827,0.828
62,3100,68.368,250169,0,0,-0.0015,50,default,200,off,no_reset,1.1252,0.0101,1.1058,0.7113,0.7311,0.6809,0.8452
63,3150,69.483,250169,0,0,0.0,50,off,200,off,no_reset,1.1085,0.0101,1.0933,0.7066,0.7298,0.683,0.8287
64,3200,70.668,261639,11470,0,-0.0427,50,default,200,off,no_reset,1.1254,0.0101,1.1059,0.7112,0.7312,0.6811,0.8456
65,3250,71.791,261639,0,0,0.0,50,off,200,off,no_reset,1.1078,0.0101,1.0925,0.7064,0.7296,0.6829,0.8281
66,3300,72.943,261639,0,0,0.0,50,default,200,off,no_reset,1.1248,0.0101,1.1055,0.7111,0.7311,0.6809,0.8451
67,3350,74.097,261639,0,0,0.0,50,default,200,off,no_reset,1.1289,0.0101,1.1106,0.7142,0.7317,0.6821,0.8481
68,3400,75.26,271849,10210,0,-0.081,50,default,200,off,no_reset,1.1294,0.0101,1.111,0.7141,0.7318,0.6823,0.8487
69,3450,76.426,271849,0,0,-0.0017,50,off,200,off,no_reset,1.1075,0.0101,1.092,0.7062,0.7296,0.683,0.828
70,3500,77.595,271849,0,0,0.0,50,off,200,off,no_reset,1.1038,0.0101,1.0876,0.7033,0.7292,0.6817,0.8255
71,3550,78.757,271849,0,0,0.0,50,default,200,off,no_reset,1.1245,0.01,1.1049,0.7109,0.7311,0.6811,0.8451
72,3600,79.978,282163,10314,0,-0.0804,50,default,200,off,no_reset,1.1282,0.0101,1.1097,0.7142,0.7315,0.682,0.8479
73,3650,81.2,282163,0,0,0.0,50,off,200,off,no_reset,1.1072,0.0101,1.0917,0.7061,0.7296,0.683,0.828
74,3700,82.358,282163,0,0,0.0,50,default,200,off,no_reset,1.124,0.01,1.1044,0.7108,0.7311,0.6809,0.8448
75,3750,83.546,282163,0,0,-0.0017,50,default,200,off,no_reset,1.1277,0.01,1.1093,0.714,0.7314,0.6819,0.8475
76,3800,84.684,282163,0,0,0.0,50,off,200,off,no_reset,1.1067,0.0101,1.0915,0.7061,0.7295,0.6828,0.8278
77,3850,85.886,282163,0,0,-0.0241,50,default,200,off,no_reset,1.1241,0.01,1.1043,0.7107,0.7311,0.6811,0.8452
78,3900,87.095,282163,0,0,0.0,50,off,200,off,no_reset,1.1068,0.0101,1.0913,0.706,0.7296,0.6831,0.828
79,3950,88.307,282163,0,0,0.0,50,default,200,off,no_reset,1.1232,0.01,1.1035,0.7107,0.7309,0.6808,0.8445
80,4000,89.568,290631,8468,0,-0.0483,50,default,200,off,no_reset,1.1272,0.01,1.1086,0.7138,0.7314,0.682,0.8474
81,4050,90.75,290631,0,0,0.0,50,off,200,off,no_reset,1.1056,0.0101,1.0904,0.7059,0.7293,0.6827,0.8271
82,4100,91.961,290631,0,0,0.0,50,default,200,off,no_reset,1.1228,0.01,1.103,0.7105,0.7309,0.6809,0.8442
83,4150,93.174,290631,0,0,-0.0136,50,default,200,off,no_reset,1.127,0.01,1.1082,0.7136,0.7315,0.6822,0.8474
84,4200,94.369,290631,0,0,0.0,50,off,200,off,no_reset,1.1049,0.0101,1.0899,0.7058,0.7292,0.6825,0.8267
85,4250,95.571,290631,0,0,0.0,50,default,200,off,no_reset,1.1225,0.01,1.1027,0.7104,0.7309,0.6809,0.8442
86,4300,96.733,290631,0,0,0.0,50,default,200,off,no_reset,1.1259,0.01,1.1072,0.7136,0.7312,0.6818,0.8465
