block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
1,200,3.711,182686,0,0,4.064,200,off,50,opacity_only,force_reset,0.7053,0.0034,3.4066,1.2347,0.5962,1.7455,1.6507
2,400,7.592,182686,0,0,0.7538,200,off,50,opacity_only,no_reset,0.4672,0.0012,2.1533,1.7203,0.4562,1.3227,1.315
3,600,11.554,182686,0,0,0.6822,200,off,50,opacity_and_size,no_reset,0.4848,0.0013,1.816,1.6667,0.4711,1.1364,1.1871
4,800,15.936,182686,0,0,0.2472,200,off,50,opacity_and_size,no_reset,0.4693,0.0012,1.8655,1.6973,0.4611,1.1635,1.2132
5,1000,20.256,182686,0,0,-0.0018,200,off,50,opacity_and_size,no_reset,0.4799,0.0012,1.8853,1.6804,0.4675,1.1797,1.2166
6,1200,24.843,182686,0,0,-0.1251,200,off,50,opacity_and_size,no_reset,0.4966,0.0013,1.8223,1.635,0.4782,1.1503,1.1812
7,1400,29.446,182686,0,0,0.093,200,off,50,opacity_and_size,no_reset,0.5006,0.0013,1.8181,1.6264,0.4806,1.1487,1.1774
8,1600,34.325,182686,0,0,-0.1829,200,off,50,opacity_only,no_reset,0.5238,0.0014,1.8769,1.5869,0.4947,1.1857,1.1897
9,1800,39.203,182686,0,0,0.046,200,off,50,opacity_and_size,no_reset,0.5252,0.0015,1.7493,1.5739,0.495,1.1102,1.1396
10,2000,44.35,182686,0,0,-0.2639,200,off,50,opacity_only,no_reset,0.5258,0.0014,1.8558,1.58,0.4957,1.1741,1.18
11,2200,49.621,182686,0,0,-0.1702,200,off,50,opacity_only,no_reset,0.6017,0.0019,2.021,1.4426,0.5329,1.2497,1.1984
12,2400,55.068,182686,0,0,-0.1072,200,off,50,opacity_only,no_reset,0.5652,0.0017,1.7304,1.4817,0.5186,1.1057,1.1119
13,2600,60.559,182686,0,0,-0.4045,200,off,50,opacity_only,no_reset,0.593,0.0019,1.7707,1.4306,0.5347,1.1271,1.1159
14,2800,66.37,182686,0,0,-0.2037,200,off,50,opacity_only,no_reset,0.6072,0.002,1.9926,1.4281,0.5356,1.2354,1.1848
15,3000,72.278,182686,0,0,-0.1506,200,off,50,opacity_only,no_reset,0.588,0.0019,1.7545,1.4369,0.5316,1.1183,1.1109
16,3200,78.314,182686,0,0,-0.3013,200,off,50,opacity_only,no_reset,0.6476,0.0026,1.7951,1.3088,0.5662,1.1316,1.0991
17,3400,84.501,182686,0,0,-0.2855,200,off,50,opacity_only,no_reset,0.642,0.0025,1.7667,1.3161,0.5628,1.1187,1.0903
18,3600,90.668,182686,0,0,-0.3746,200,off,50,opacity_only,no_reset,0.6401,0.0025,1.7394,1.3165,0.5617,1.1056,1.0808
19,3800,96.975,182686,0,0,-0.2426,200,off,50,opacity_only,no_reset,0.6627,0.0026,2.0039,1.3008,0.5675,1.2274,1.1607
20,4000,103.43,182686,0,0,-0.3348,200,off,50,opacity_only,no_reset,0.6474,0.0026,1.7611,1.3015,0.5659,1.1144,1.0849
21,4200,109.846,182686,0,0,-0.3261,200,off,50,opacity_only,no_reset,0.6949,0.0031,2.1255,1.2418,0.5853,1.2698,1.1886
22,4400,116.41,182686,0,0,-0.2868,200,off,50,opacity_only,no_reset,0.6892,0.003,2.1309,1.2514,0.5822,1.2733,1.1919
23,4600,122.88,182686,0,0,-0.3265,200,off,50,opacity_only,no_reset,0.6876,0.0032,1.884,1.2295,0.5884,1.1618,1.1118
