block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
1,200,2.052,182686,0,0,1.0124,200,aggressive,200,opacity_and_size,reset_if_plateau,1.6363,0.01,0.8882,1.1825,0.6328,0.7066,0.8865
2,400,4.013,182686,0,0,0.0078,200,aggressive,200,opacity_and_size,reset_if_plateau,1.8278,0.0088,0.825,1.2282,0.6781,0.6326,1.0773
3,600,6.096,182694,8,0,-1.3123,200,aggressive,200,opacity_and_size,reset_if_plateau,1.817,0.0088,0.8252,1.2193,0.6812,0.63,1.0761
4,800,8.439,178733,287,4248,3.518,200,aggressive,200,opacity_and_size,reset_if_plateau,1.8673,0.0098,0.8639,1.3246,0.6146,0.7107,0.9836
5,1000,10.698,168398,2817,13152,1.1042,200,aggressive,200,opacity_and_size,reset_if_plateau,1.7729,0.0086,0.8183,1.1661,0.7061,0.6097,1.0891
6,1200,13.014,173080,6052,1370,1.0637,200,aggressive,400,opacity_only,no_reset,1.6887,0.0079,0.7982,0.9824,0.8193,0.5423,1.153
7,1400,15.393,173080,0,0,1.443,200,default,400,opacity_only,no_reset,1.7425,0.007,0.784,0.8258,0.9687,0.4787,1.2733
8,1600,17.64,173892,2509,1697,-1.0003,200,default,400,opacity_only,no_reset,1.7138,0.0071,0.7893,0.8061,0.9767,0.479,1.2615
9,1800,19.792,173892,0,0,0.7551,200,default,400,opacity_only,no_reset,1.6265,0.0077,0.8163,0.8941,0.8592,0.5207,1.1604
10,2000,21.894,176541,3887,1238,-0.3171,200,default,400,opacity_only,no_reset,1.7216,0.007,0.7864,0.7648,1.0185,0.4692,1.2792
11,2200,23.965,176541,0,0,0.51,200,default,400,opacity_only,no_reset,1.6187,0.0075,0.8106,0.8115,0.9293,0.4993,1.1894
12,2400,26.121,180619,4078,0,-0.2728,200,default,400,off,no_reset,1.7894,0.0067,0.7748,0.6711,1.1424,0.4419,1.3453
13,2600,28.229,180619,0,0,0.1196,200,default,400,opacity_only,no_reset,1.5948,0.0075,0.817,0.7542,0.97,0.4899,1.1915
14,2800,30.447,185309,4690,0,-0.1921,200,default,400,off,no_reset,1.7746,0.0067,0.7776,0.6591,1.1496,0.4426,1.3382
15,3000,32.545,185309,0,0,0.4347,200,default,400,off,no_reset,1.61,0.0073,0.8133,0.7213,1.0087,0.4801,1.2119
