block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
1,200,3.144,182686,0,0,1.0596,200,conservative,50,opacity_only,reset_if_plateau,0.5014,0.0041,1.1296,1.7939,0.7951,1.8071,1.2117
2,400,6.272,182686,0,0,0.0074,200,conservative,50,opacity_only,reset_if_plateau,0.4216,0.0026,0.8346,1.9062,0.7647,1.9242,1.4455
3,600,9.405,183044,358,0,-0.1786,200,conservative,50,opacity_only,reset_if_plateau,0.4235,0.0026,0.8022,1.8999,0.743,1.9186,1.4385
4,800,12.54,187824,4978,198,2.9713,200,conservative,50,opacity_only,reset_if_plateau,0.4403,0.003,0.9131,1.8787,0.7918,1.899,1.3729
5,1000,15.95,213853,26029,0,0.7154,200,conservative,50,opacity_only,reset_if_plateau,0.42,0.0026,0.6771,1.8929,0.6527,1.9109,1.4497
6,1200,19.397,241072,27219,0,-0.1293,200,default,400,opacity_only,reset_if_plateau,0.3997,0.0023,0.4743,1.9054,0.5099,1.9212,1.5282
7,1400,22.23,241072,0,0,1.1454,200,default,400,opacity_only,reset_if_plateau,0.4012,0.0024,0.4679,1.9012,0.505,1.9181,1.524
8,1600,25.544,275969,34897,0,-0.7377,200,default,400,opacity_only,reset_if_plateau,0.4094,0.0025,0.4816,1.8889,0.5117,1.9068,1.4965
9,1800,29.029,290277,15787,1479,0.0593,200,conservative,50,opacity_only,reset_if_plateau,0.4317,0.003,0.5849,1.8537,0.5783,1.8749,1.405
10,2000,32.507,299544,9274,7,0.2286,200,conservative,400,opacity_only,reset_if_plateau,0.4243,0.0027,0.5493,1.8675,0.5691,1.8895,1.4421
11,2200,36.278,299544,0,0,0.121,200,default,400,opacity_only,reset_if_plateau,0.4252,0.0028,0.4988,1.8578,0.5323,1.8811,1.4457
12,2400,39.839,340823,41279,0,-0.2151,200,default,400,opacity_only,reset_if_plateau,0.4132,0.0026,0.4711,1.8758,0.5167,1.8987,1.4846
13,2600,43.642,349003,15857,7677,-0.9046,200,conservative,50,opacity_only,reset_if_plateau,0.4525,0.0034,0.6159,1.807,0.6095,1.8372,1.3413
14,2800,47.534,382322,34659,1340,0.3613,200,conservative,50,opacity_only,reset_if_plateau,0.4576,0.0035,0.662,1.8025,0.6478,1.8348,1.3246
15,3000,51.256,382322,0,0,0.1818,200,default,400,opacity_only,reset_if_plateau,0.4289,0.0029,0.4969,1.8495,0.5327,1.8745,1.435
16,3200,55.39,429218,46896,0,-0.5295,200,default,400,opacity_only,reset_if_plateau,0.4317,0.003,0.4917,1.8373,0.5371,1.8674,1.4255
17,3400,59.466,429218,0,0,-0.1884,200,conservative,400,opacity_only,reset_if_plateau,0.4585,0.0036,0.5976,1.7844,0.6094,1.8212,1.3257
18,3600,63.659,443778,18336,3776,-0.3735,200,default,400,opacity_only,reset_if_plateau,0.4404,0.0031,0.526,1.8212,0.5708,1.8547,1.3965
19,3800,67.923,469416,34750,9112,-0.0144,200,conservative,50,opacity_only,reset_if_plateau,0.4648,0.0037,0.6335,1.7738,0.6426,1.8144,1.3071
20,4000,72.398,514592,45176,0,-0.269,200,default,400,opacity_only,reset_if_plateau,0.4373,0.003,0.4939,1.8262,0.5395,1.857,1.4103
21,4200,76.956,492450,8157,30299,-0.3266,200,conservative,50,opacity_only,reset_if_plateau,0.4775,0.004,0.648,1.7434,0.6477,1.787,1.2731
22,4400,81.486,510730,19274,994,-0.0634,200,conservative,50,opacity_only,reset_if_plateau,0.4763,0.0039,0.6576,1.7499,0.6573,1.7928,1.2759
23,4600,85.981,510730,0,0,-0.2109,200,default,400,opacity_only,reset_if_plateau,0.4598,0.0035,0.5479,1.7804,0.5789,1.8175,1.3412
24,4800,90.541,544066,33342,6,-0.209,200,default,400,opacity_only,reset_if_plateau,0.4589,0.0035,0.5562,1.78,0.5932,1.8208,1.3421
25,5000,95.229,544066,0,0,-0.1757,200,default,400,opacity_only,reset_if_plateau,0.4529,0.0034,0.5351,1.791,0.5795,1.8304,1.3611
26,5200,99.779,578969,34904,1,-0.3333,200,default,400,opacity_only,reset_if_plateau,0.4579,0.0035,0.5461,1.7802,0.5877,1.8213,1.3463
27,5400,104.699,603125,28579,4423,-0.3138,200,conservative,50,opacity_only,reset_if_plateau,0.4847,0.0042,0.6553,1.7241,0.6609,1.7725,1.2564
28,5600,109.616,624639,22570,1056,-0.2893,200,conservative,50,opacity_only,reset_if_plateau,0.4901,0.0042,0.6531,1.7116,0.6513,1.7579,1.2434
29,5800,114.39,624639,0,0,-0.164,200,conservative,400,opacity_only,reset_if_plateau,0.4843,0.0041,0.6332,1.7229,0.6406,1.7682,1.259
30,6000,119.165,662436,37801,4,-0.3063,200,default,400,opacity_only,reset_if_plateau,0.4727,0.0038,0.5627,1.7466,0.5977,1.7901,1.3082
31,6200,124.689,682869,22388,1955,-0.2587,200,conservative,50,opacity_only,reset_if_plateau,0.4916,0.0043,0.6607,1.705,0.6675,1.7569,1.24
