block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
1,100,0.977,182686,0,0,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
2,200,1.968,182686,0,0,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
3,300,2.925,182686,0,0,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
4,400,3.871,182686,0,0,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
5,500,4.809,182686,0,0,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
6,600,5.75,182700,14,0,-0.156,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
7,700,6.795,168426,175,14449,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
8,800,7.811,167570,1983,2839,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
9,900,8.905,169439,3406,1537,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
10,1000,10.018,174444,6167,1162,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
11,1100,11.089,180262,6627,809,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
12,1200,12.137,187815,8168,615,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
13,1300,13.231,197020,9720,515,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
14,1400,14.355,206798,10138,360,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
15,1500,15.483,217309,10874,363,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
16,1600,16.641,228262,11245,292,-0.0018,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
17,1700,17.796,211841,1641,18062,-0.1251,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
18,1800,19.011,217009,6400,1232,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
19,1900,20.212,224424,8027,612,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
20,2000,21.387,234173,10177,428,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
21,2100,22.592,244514,10705,364,-0.0204,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
22,2200,23.842,227012,1820,19322,-0.1056,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
23,2300,25.04,231997,5972,987,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
24,2400,26.307,239806,8299,490,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
25,2500,27.531,248751,9357,412,-0.0226,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
26,2600,28.775,228378,1656,22029,-0.1724,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
27,2700,30.054,232672,5085,791,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
28,2800,31.251,239945,7763,490,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
29,2900,32.505,247983,8354,316,-0.0486,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
30,3000,33.74,237566,1647,12064,-0.0123,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
31,3100,35.081,232414,5035,10187,-0.4212,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
32,3200,36.264,239788,8191,817,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
33,3300,37.531,247005,7699,482,-0.0241,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
34,3400,38.861,253946,7365,424,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
35,3500,40.16,262068,8472,350,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
36,3600,41.425,269945,8201,324,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
37,3700,42.701,276789,7142,298,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
38,3800,43.954,285151,8686,324,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
39,3900,45.25,291451,6562,262,-0.0251,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
40,4000,46.535,299586,8377,242,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
41,4100,47.845,308494,9169,261,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
42,4200,49.245,315001,6775,268,-0.002,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
43,4300,50.579,321589,6866,278,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
44,4400,51.892,326763,5426,252,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
45,4500,53.209,333703,7210,270,-0.0281,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
46,4600,54.522,339079,5655,279,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
47,4700,55.868,345025,6201,255,-0.0348,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
48,4800,57.168,350452,5673,246,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
49,4900,58.468,355422,5211,241,-0.0275,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
50,5000,59.899,360850,5668,240,-0.0092,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
51,5100,61.274,365192,4623,281,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
52,5200,62.636,369127,4173,238,-0.0167,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
53,5300,64.022,374743,5847,231,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
54,5400,65.466,378910,4400,233,-0.0103,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
55,5500,66.926,382676,3998,232,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
56,5600,68.456,386275,3874,275,-0.0226,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
57,5700,69.913,389040,3037,272,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
58,5800,71.407,394083,5310,267,-0.0007,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
59,5900,72.9,397329,3481,235,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
60,6000,74.481,400618,3546,257,-0.0399,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
